t,u,theta,theta_rad,phi
4.55,35,-3.84378,-3.84378,36
4.56,35,-3.168758,-3.168758,36
4.57,35,-2.475531,-2.475531,36
4.58,35,-1.762561,-1.762561,36
4.59,35,-1.042299,-1.042299,36
4.6,35,-0.3211719,-0.3211719,36
4.61,35,0.3996707,0.3996707,36
4.62,35,1.12379,1.12379,36
4.63,35,1.832935,1.832935,36
4.64,35,2.528769,2.528769,36
4.65,35,3.208625,3.208625,36
4.66,35,3.861306,3.861306,36
4.67,35,4.494152,4.494152,36
4.68,35,5.097234,5.097234,36
4.69,35,5.660724,5.660724,36
4.7,35,6.186816,6.186816,36
4.71,35,6.666089,6.666089,36
4.72,35,7.108494,7.108494,36
4.73,35,7.504539,7.504539,36
4.74,35,7.858459,7.858459,36
4.75,35,8.157413,8.157413,36
4.76,35,8.397079,8.397079,36
4.77,35,8.587282,8.587282,36
4.78,35,8.726935,8.726935,36
4.79,35,8.820231,8.820231,36
4.8,35,8.857086,8.857086,36
4.81,35,8.838364,8.838364,36
4.82,35,8.767847,8.767847,36
4.83,35,8.644616,8.644616,36
4.84,35,8.474127,8.474127,36
4.85,35,8.25955,8.25955,36
4.86,35,7.994844,7.994844,36
4.87,35,7.675364,7.675364,36
4.88,35,7.310226,7.310226,36
4.89,35,6.908148,6.908148,36
4.9,35,6.468554,6.468554,36
4.91,35,5.993965,5.993965,36
4.92,35,5.485672,5.485672,36
4.93,35,4.939793,4.939793,36
4.94,35,4.368599,4.368599,36
4.95,35,3.776619,3.776619,36
4.96,35,3.161701,3.161701,36
4.97,35,2.538009,2.538009,36
4.98,35,1.898018,1.898018,36
4.99,35,1.246761,1.246761,36
5,35,0.5942787,0.5942787,36
5.01,35,-0.05539858,-0.05539858,36
5.02,35,-0.6961842,-0.6961842,36
5.03,35,-1.328612,-1.328612,36
5.04,35,-1.946605,-1.946605,36
5.05,35,-2.547755,-2.547755,36
5.06,35,-3.13666,-3.13666,36
5.07,35,-3.701223,-3.701223,36
