t,u,theta,phi
5.51,-0.000142183,0.0003148232,0
5.52,0.0003704227,0.0002754584,0
5.53,-0.0001359259,0.0002990086,0
5.54,0.0003457491,0.0002500358,0
5.55,-0.0001742441,0.0002024963,0
5.56,0.0003025406,0.0001463286,0
5.57,-0.0001586519,0.0001910382,0
5.58,0.0003178147,0.0002015919,0
5.59,-0.0001039908,0.0002891758,0
5.6,0.0003162824,0.0002574274,0
5.61,-0.0001286093,0.0002269793,0
5.62,0.0003445421,0.0002842281,0
5.63,-0.0001403871,0.0002455156,0
5.64,0.0003068393,0.0001955818,0
5.65,-0.0001539835,0.0001895657,0
5.66,0.0002362153,7.386439e-05,0
5.67,-0.0002012171,3.370877e-05,0
5.68,0.0001798578,-4.683508e-05,0
5.69,-0.0001500741,6.52513e-05,0
5.7,0.0002081789,7.509088e-05,0
5.71,-0.0001408327,8.721327e-05,0
5.72,0.0002056561,7.896787e-05,0
5.73,-0.0002097349,-3.312056e-05,0
5.74,0.0001824068,-3.450662e-05,0
5.75,-0.00018601,5.496866e-06,0
5.76,0.0002092297,3.686717e-05,0
5.77,-0.000208918,-1.176957e-05,0
5.78,0.0002112197,7.759457e-06,0
5.79,-0.0002398046,-5.022794e-05,0
5.8,0.0001987013,-5.176285e-05,0
5.81,-0.0002423629,-5.551497e-05,0
5.82,0.0001779879,-8.878668e-05,0
5.83,-0.0002889354,-0.0001553169,0
5.84,0.0001656509,-0.0001537017,0
5.85,-0.0002783693,-0.0001366301,0
5.86,0.0001861349,-0.0001081807,0
5.87,-0.0002760444,-0.0001137889,0
5.88,0.0001568056,-0.0001608015,0
5.89,-0.0002756277,-0.0001444361,0
5.9,0.0001563991,-0.0001505688,0
5.91,-0.0002431637,-9.441804e-05,0
5.92,0.0002287606,7.467534e-06,0
5.93,-0.0002112223,2.674131e-05,0
5.94,0.0001962148,-3.392641e-05,0
5.95,-0.0001945512,1.408147e-05,0
5.96,0.0001816697,-2.616295e-05,0
5.97,-0.0002066874,-3.297526e-05,0
5.98,0.0001625146,-6.262962e-05,0
5.99,-0.0002325848,-9.59072e-05,0
6,0.0001273126,-0.0001434847,0
6.01,-0.0002934849,-0.0002291257,0
6.02,0.0001449378,-0.0001712033,0
6.03,-0.0002049218,-4.290548e-05,0
6.04,0.0001267242,-0.0001160275,0
6.05,-0.0001952677,-7.556336e-05,0
6.06,0.0001685652,-1.931638e-05,0
6.07,-0.0001705894,3.065143e-06,0
6.08,0.0001639896,-1.202135e-05,0
6.09,-0.0002018275,-5.905604e-05,0
6.1,0.0001433574,-7.776485e-05,0
6.11,-0.0002685256,-0.000182692,0
6.12,0.0001458053,-0.0001436364,0
6.13,-0.0003014742,-0.0002115694,0
6.14,0.0001075085,-0.000252753,0
6.15,-0.0003131916,-0.0002585542,0
6.16,0.0001271851,-0.0002238262,0
6.17,-0.0002938008,-0.0002030841,0
6.18,0.0002160841,-6.183324e-05,0
6.19,-0.0002607325,-5.380291e-05,0
6.2,0.0002488187,-1.921966e-06,0
6.21,-0.0001877136,0.0001024825,0
6.22,0.0002063103,-3.166322e-06,0
6.23,-0.0003074878,-0.0001675738,0
6.24,2.673315e-05,-0.0004120665,0
6.25,-0.0002364144,-0.0002121133,0
6.26,0.0004910937,0.0004951699,0
6.27,9.349051e-05,0.0008092504,0
6.28,0.0004450502,0.0006278177,0
6.29,-0.0001403664,0.0002985338,0
6.3,0.000155316,-7.45953e-05,0
6.31,-0.0003486849,-0.0002974165,0
6.32,0.0002310295,-9.695352e-05,0
6.33,-8.274681e-05,0.0002794557,0
6.34,0.0004119372,0.0004554987,0
6.35,-1.757212e-05,0.0005054421,0
6.36,0.0002375397,0.000198132,0
6.37,-0.0002797816,-0.0001364471,0
