t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
1.84,9.839269e-05,-0.0007751099,-0.0003184266,-0.008565653,0.001853943,3.90489e-05,0.003401541,0
1.85,1.595843e-05,-0.0001033836,-0.0005848892,-0.0001605898,0.001853943,0.0001592957,-0.0003552248,0
1.86,-1.979739e-06,0.0003596262,-0.0008513518,0.005994096,0.001853943,0.0002369256,-0.003714677,0
1.87,2.366939e-05,0.0006921331,-0.0005848892,0.009727459,-0.003008366,0.0002838171,-0.005643955,0
1.88,0.0001019495,-0.00026485,-5.196035e-05,-0.003275055,0.001853943,6.921297e-05,0.0008436455,0
1.89,0.0001244892,0.0002706761,-0.0005848892,0.002839632,0.001853943,0.0001688351,-0.001616126,0
1.9,0.0001508271,0.0006651998,0.001546815,0.007631255,0.001853943,0.00023751,-0.004164151,0
1.91,0.0001899596,0.0009580936,0.001280349,0.01049487,-0.003008366,0.0002825567,-0.005578109,0
1.92,0.0001148838,-2.763042e-05,0.001280349,-0.003122254,0.001853943,7.05164e-05,0.001259212,0
1.93,0.0001152856,0.0004299101,-0.0003184266,0.00227413,0.001853943,0.0001755212,-0.0009536773,0
1.94,4.332583e-05,0.0007577691,-0.001117811,0.006539539,0.001853943,0.0002513671,-0.003326069,0
1.95,-4.742085e-05,0.000966782,-0.002450123,0.008949242,0.001853943,0.0003043288,-0.004678736,0
1.96,-0.01195711,0.001080339,0.0428485,0.0100969,0.001853943,0.0003440265,-0.005382766,0
1.97,-0.0009754368,-0.00295424,1.049277,-0.008932225,0.006716251,0.0003764216,-0.005690009,0
1.98,0.02748676,-0.0007898464,2.685357,0.01420615,0.001853943,0.0006490668,-0.01330316,0
1.99,0.078721,0.009412851,3.620107,0.06536118,0.001853943,0.0005718596,-0.0159725,0
2,0.1288193,0.03425939,3.884171,0.1752535,0.001853943,0.0004854473,-0.01614771,0
2.01,0.1639628,0.06881049,4.089614,0.3011999,0.001853943,0.0004631945,-0.004690411,0
2.02,0.2033615,0.1046098,4.22471,0.3846204,0.001853943,0.0006948783,0.03309241,0
2.03,0.2439886,0.1421747,3.971305,0.4241363,0.001853943,0.001463879,0.1037443,0
2.04,0.2767056,0.1807606,3.679262,0.4201944,0.001853943,0.003048185,0.203403,0
2.05,0.3071997,0.2166594,3.697115,0.3580107,0.001853943,0.005679901,0.3299427,0
2.06,0.3394372,0.2492135,3.528444,0.2404083,0.001853943,0.009554565,0.4809141,0
2.07,0.3732978,0.2793598,3.018701,0.08078754,0.006716251,0.0148126,0.6502118,0
2.08,0.3980429,0.3089705,2.617942,-0.09532941,0.01157808,0.02177174,0.8247139,0
2.09,0.4243966,0.3345179,2.104735,-0.3035309,0.02130318,0.03037697,1.002933,0
2.1,0.4784208,0.358457,1.596058,-0.5199676,0.02616549,0.0408153,1.177683,0
2.11,0.5080907,0.3891727,1.226741,-0.712723,0.0504775,0.05269109,1.354644,0
2.12,0.520822,0.4206189,0.5030292,-0.8780467,0.06506395,0.06691237,1.502476,0
2.13,0.5147433,0.4439245,-0.1892403,-1.094134,0.08451366,0.08265091,1.653255,0
2.14,0.4998152,0.4557625,-0.4032097,-1.361274,0.1039634,0.100095,1.800081,0
2.15,0.4937696,0.4561779,-0.5239172,-1.665706,0.1234126,0.1190717,1.9365,0
2.16,0.4982937,0.4515107,-0.8540642,-1.961892,0.1477246,0.1393365,2.05288,0
2.17,0.4968812,0.4481894,-1.509029,-2.201721,0.1720366,0.160815,2.133605,0
2.18,0.478293,0.4439605,-2.015041,-2.402411,0.2012105,0.1830908,2.180935,0
2.19,0.4437138,0.4345849,-2.16506,-2.583276,0.2255225,0.2060691,2.195543,0
2.2,0.4106983,0.4151383,-2.169057,-2.78022,0.2498341,0.2291671,2.190712,0
2.21,0.3879622,0.3894894,-2.339326,-2.965787,0.2741461,0.2521679,2.163615,0
2.22,0.3623547,0.3635148,-2.654018,-3.102857,0.3033199,0.2748143,2.106672,0
2.23,0.3278133,0.3381225,-2.946861,-3.178238,0.3324947,0.2970614,2.010374,0
2.24,0.289226,0.3107145,-2.983366,-3.212988,0.3616686,0.3185731,1.881434,0
2.25,0.2528777,0.2811577,-2.95219,-3.212662,0.3859806,0.3390945,1.725489,0
2.26,0.2197446,0.2503525,-3.018006,-3.18349,0.4054303,0.3581762,1.551517,0
2.27,0.1871485,0.2192792,-3.103274,-3.129197,0.4248796,0.3754718,1.365967,0
2.28,0.1445932,0.1889052,-3.039856,-3.043923,0.4443288,0.3909619,1.167361,0
2.29,0.09942244,0.1562957,-2.471225,-2.942652,0.4589162,0.4046226,0.956018,0
2.3,0.0653483,0.1207182,-1.800805,-2.837558,0.4637785,0.4161959,0.740755,0
2.31,0.04426946,0.08518493,-1.450407,-2.726723,0.4637785,0.4252533,0.5322557,0
2.32,0.02944354,0.05365653,-1.444012,-2.593085,0.4637785,0.4317245,0.3301824,0
2.33,0.009515069,0.02776453,-1.402977,-2.427547,0.4637785,0.4358045,0.1305987,0
2.34,-0.01246453,0.00467421,-1.181813,-2.248412,0.4540539,0.4376673,-0.06466877,0
2.35,-0.02903406,-0.01905138,-0.8764471,-2.094479,0.4491916,0.4370155,-0.2371516,0
2.36,-0.0391323,-0.03974812,-0.6358314,-1.931913,0.4346042,0.4344462,-0.398672,0
2.37,-0.04500223,-0.05808182,-0.521519,-1.780463,0.4248796,0.4296717,-0.5382842,0
2.38,-0.05302946,-0.0717769,-0.4527717,-1.616334,0.4102921,0.4232664,-0.6669801,0
2.39,-0.06494382,-0.08387603,-0.2078927,-1.465407,0.3957052,0.4151886,-0.777664,0
2.4,-0.0687772,-0.09600512,0.08308433,-1.334397,0.3811183,0.4057165,-0.8704008,0
2.41,-0.06761266,-0.1052175,0.2541533,-1.204961,0.3568063,0.3950966,-0.9480259,0
2.42,-0.0591147,-0.112937,0.3234335,-1.100537,0.337357,0.3830388,-0.9994029,0
2.43,-0.05270538,-0.1158374,0.2693416,-0.9914777,0.313045,0.3701155,-1.035702,0
2.44,-0.04634814,-0.1172613,0.2360338,-0.9045151,0.2984576,0.3562766,-1.050834,0
2.45,-0.04313786,-0.1153338,0.2504228,-0.8111107,0.2741461,0.3422779,-1.059513,0
2.46,-0.03471392,-0.114619,0.2283064,-0.7550229,0.2546964,0.3277111,-1.045563,0
2.47,-0.02861552,-0.1119213,0.1081318,-0.7070726,0.2352476,0.3130714,-1.018249,0
2.48,-0.02372539,-0.1087826,0.02339674,-0.6725317,0.2206602,0.2984789,-0.9810405,0
