t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
1.88,-3.305098e-05,8.294982e-05,-0.0005409047,-0.0002852689,-8.535385e-05,-0.0001634085,-0.001285319,0
1.89,2.673707e-06,5.846529e-05,0.0007914044,-0.0004271743,-8.535385e-05,-0.0001714183,-0.001226559,0
1.9,2.636701e-05,5.534034e-05,0.001324333,-0.0004390849,-8.535385e-05,-0.0001783734,-0.001168295,0
1.91,3.870494e-05,6.300733e-05,0.001057871,-0.0003968196,-8.535385e-05,-0.0001843075,-0.001104205,0
1.92,9.326489e-05,7.417912e-05,0.002123717,-0.0003281683,-8.535385e-05,-0.0001893337,-0.001055664,0
1.93,0.0001551457,0.000102265,0.0005249418,-0.0001705049,-8.535385e-05,-0.0001936813,-0.001026605,0
1.94,0.0001665019,0.0001446056,0.0005249418,4.35051e-05,-8.535385e-05,-0.0001975554,-0.001011268,0
1.95,0.0001136512,0.0001792445,-0.001073834,0.0001951289,-8.535385e-05,-0.0002011048,-0.001006524,0
1.96,0.0001484083,0.0001859688,-0.001340296,0.0001885894,-8.535385e-05,-0.0002044051,-0.001002895,0
1.97,0.0001312328,0.0002030026,-0.001606755,0.000216525,-8.535385e-05,-0.0002073894,-0.0009826783,0
1.98,0.0001439725,0.0002090488,-0.001073834,0.000158577,-8.535385e-05,-0.0002098378,-0.0009321194,0
1.99,0.00017731,0.0002173199,0.0002584793,9.883568e-05,0.004776955,-0.0002115465,-0.0008644175,0
2,0.0001821974,0.001438839,0.001590792,0.01525556,-8.535385e-05,3.169122e-05,-0.008304413,0
2.01,0.0001843816,0.001116597,0.001324333,0.01028542,-8.535385e-05,-4.741977e-05,-0.006204513,0
2.02,0.0001678038,0.000885452,0.001057871,0.007910503,-8.535385e-05,-0.0001116902,-0.006175857,0
2.03,0.0001223131,0.0007172388,0.0005249418,0.005490713,-8.535385e-05,-0.0001675885,-0.005319719,0
2.04,8.398603e-05,0.0005789655,-0.0005409047,0.003087116,-8.535385e-05,-0.000209014,-0.003962458,0
2.05,3.881036e-05,0.0004610159,-0.0005409047,0.0009367889,-8.535385e-05,-0.0002338436,-0.002497042,0
2.06,2.718653e-05,0.000353484,-0.0005409047,-0.0008591979,-8.535385e-05,-0.0002431876,-0.001157637,0
2.07,-3.211735e-05,0.0002646455,-0.001340296,-0.002203789,-8.535385e-05,-0.0002398355,-6.295563e-05,0
2.08,1.247964e-05,0.0001731865,-0.001606755,-0.003210201,-8.535385e-05,-0.0002271987,0.0007457742,0
2.09,-4.118923e-05,0.0001170193,-0.000807371,-0.003722538,-8.535385e-05,-0.0002086816,0.001269605,0
2.1,-9.648154e-05,5.333791e-05,0.0005249418,-0.00402529,-8.535385e-05,-0.0001872928,0.001545148,0
2.11,-4.015183e-05,-1.452642e-05,0.001057871,-0.004137622,-8.535385e-05,-0.0001655176,0.00160531,0
2.12,6.397388e-06,-4.5044e-05,0.001057871,-0.003918109,-8.535385e-05,-0.0001452233,0.001510294,0
2.13,-7.411616e-05,-5.11109e-05,-0.001073834,-0.003505256,-8.535385e-05,-0.0001276293,0.001307909,0
2.14,-8.84496e-05,-8.259089e-05,0.001324333,-0.003178748,-8.535385e-05,-0.0001135249,0.001022888,0
2.15,-0.0001477061,-0.0001079788,0.0007914044,-0.002795306,-8.535385e-05,-0.0001033452,0.0006915141,0
2.16,-0.0002415036,-0.0001435843,-0.001340296,-0.002474869,-8.535385e-05,-9.707142e-05,0.0003623529,0
2.17,-0.0002178928,-0.0001975156,-0.0002744421,-0.002254693,-8.535385e-05,-9.438011e-05,4.937923e-05,0
2.18,-0.0001726686,-0.0002230769,-0.00213968,-0.001903145,-8.535385e-05,-9.483921e-05,-0.0002358557,0
2.19,-7.546848e-05,-0.0002206288,-0.000807371,-0.001446336,-8.535385e-05,-9.796985e-05,-0.0004901693,0
2.2,-4.03886e-05,-0.0001802076,-0.001073834,-0.0008414821,-8.535385e-05,-0.0001034117,-0.0007337907,0
2.21,2.532532e-05,-0.0001344006,0.0005249418,-0.0002678705,-8.535385e-05,-0.0001109533,-0.000972592,0
2.22,-2.353878e-06,-7.43348e-05,0.0002584793,0.0003139006,-8.535385e-05,-0.000120406,-0.001203187,0
2.23,-3.74727e-05,-3.675508e-05,0.001057871,0.0007026749,-8.535385e-05,-0.0001314506,-0.001401675,0
