t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,phi_p_sim
2.58,-0.05563865,-0.05520854,0.722545,0.7795449,0.2099552,0.2114919,0,0.1102642
2.59,-0.04803186,-0.047462,0.7617149,0.8143165,0.2099552,0.2115469,0,0.1086344
2.6,-0.04013225,-0.03952244,0.7982203,0.8416048,0.2099552,0.211556,0,0.1076002
2.61,-0.03192054,-0.03137356,0.825133,0.862921,0.2099552,0.2115515,0,0.1069092
2.62,-0.02359544,-0.02297698,0.8491147,0.8800263,0.2099552,0.211542,0,0.1063448
2.63,-0.01521865,-0.014507,0.8640365,0.8903176,0.2099552,0.2115366,0,0.1060458
2.64,-0.006749444,-0.006052266,0.8773596,0.8934919,0.2099552,0.2115356,0,0.105958
2.65,0.001672707,0.002421868,0.8829554,0.8916645,0.2099552,0.2115341,0,0.1058784
2.66,0.01013554,0.01080049,0.8834883,0.8836327,0.2099552,0.2115347,0,0.1058897
2.67,0.01837019,0.01915498,0.8808237,0.8720317,0.2099552,0.211532,0,0.1057901
2.68,0.02647882,0.0272503,0.8690993,0.8531022,0.2099552,0.2115346,0,0.1058745
2.69,0.03438543,0.03514464,0.8512464,0.8295792,0.2099552,0.2115356,0,0.1059147
2.7,0.04203283,0.04279144,0.8304623,0.8015735,0.2099552,0.2115359,0,0.1059265
2.71,0.04932722,0.05013511,0.8019508,0.7690378,0.2099552,0.211536,0,0.1059338
2.72,0.05634265,0.05708266,0.7718406,0.7312704,0.2099552,0.2115379,0,0.1060013
2.73,0.06287745,0.06369749,0.7379998,0.690726,0.2099552,0.2115367,0,0.1059611
2.74,0.06906136,0.06980817,0.6958987,0.6448625,0.2099552,0.2115388,0,0.1060355
2.75,0.07468134,0.07551301,0.6466032,0.5968904,0.2099552,0.2115375,0,0.105993
2.76,0.07979785,0.08063751,0.5978405,0.5441173,0.2099552,0.2115397,0,0.1060719
2.77,0.08435503,0.08521101,0.5434822,0.4883993,0.2099552,0.2115414,0,0.1061356
