t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,phi_p_sim
1.44,0.6822386,0.6772074,-0.4091705,1.202511,0.06153011,0.04767995,1.790214,0
1.45,0.6682403,0.6961045,-1.080656,1.083445,0.08584213,0.07972425,2.200366,0
1.46,0.6436669,0.6700592,-1.173918,-0.4380779,0.115016,0.1073042,2.350825,0
1.47,0.6283504,0.6314641,-1.58054,-1.78618,0.1490526,0.1375415,2.455511,0
1.48,0.6122967,0.6100707,-2.509161,-2.132916,0.1879518,0.1732237,2.699022,0
1.49,0.5798697,0.5930455,-3.248861,-2.162511,0.2219882,0.2143204,2.966608,0
1.5,0.5328776,0.554674,-3.429789,-2.856609,0.2657495,0.2505975,3.009923,0
1.51,0.4959099,0.500935,-3.456968,-3.608167,0.3046484,0.2933149,3.0065,0
1.52,0.4608327,0.4604671,-3.737553,-3.703145,0.3484097,0.3327439,2.94964,0
1.53,0.4180844,0.4273809,-4.160163,-3.433251,0.3873086,0.3755271,2.916068,0
1.54,0.3639408,0.3840605,-4.357079,-3.547272,0.4310699,0.4137062,2.736979,0
1.55,0.316907,0.3277672,-4.244898,-3.869658,0.4748313,0.4544256,2.510967,0
1.56,0.2644636,0.2813094,-4.198534,-3.678208,0.5137303,0.4956525,2.286302,0
1.57,0.1977801,0.2286893,-3.783651,-3.740535,0.5331798,0.5322683,2.01356,0
1.58,0.1455136,0.1530484,-2.718334,-4.710639,0.552629,0.5500516,1.523518,0
1.59,0.1179751,0.0980944,-1.798239,-4.701589,0.5574915,0.5653647,1.147905,0
1.6,0.1036026,0.07512214,-1.76733,-3.907856,0.5672162,0.568826,0.8438514,0
1.61,0.08688758,0.07281532,-2.106803,-2.629908,0.5720787,0.5752479,0.6336018,0
1.62,0.04751508,0.06470921,-2.139045,-1.919589,0.5818033,0.5774263,0.3201708,0
1.63,-0.003012255,0.02601805,-1.410004,-2.239501,0.5769408,0.5821809,-0.02799006,0
1.64,-0.01965833,-0.03361368,-0.7702271,-3.250557,0.5623538,0.5745251,-0.4657249,0
1.65,-0.02820706,-0.05056487,-0.4715227,-2.765023,0.552629,0.5580238,-0.7684634,0
1.66,-0.03130978,-0.05077185,-0.5024323,-1.927105,0.5429044,0.5458208,-0.8080667,0
1.67,-0.03861174,-0.04541562,-0.5631858,-1.112433,0.5234549,0.535136,-0.8776639,0
1.68,-0.05349065,-0.05023541,-0.3825242,-0.9623499,0.508868,0.5151131,-1.120615,0
1.69,-0.06752948,-0.06495893,-0.01933587,-1.093772,0.4796937,0.497367,-1.318598,0
1.7,-0.07183641,-0.08352476,0.2116871,-1.518682,0.4553819,0.4677035,-1.546861,0
1.71,-0.06680714,-0.08703102,0.3518464,-1.324679,0.4359322,0.4415743,-1.58797,0
1.72,-0.05767003,-0.0761646,0.258851,-0.6954216,0.4067581,0.4217292,-1.472637,0
1.73,-0.0500375,-0.06364929,-0.01320724,-0.3335412,0.3873086,0.3943422,-1.487177,0
1.74,-0.04267964,-0.05147615,-0.2551551,0.03811234,0.3629968,0.3736884,-1.470226,0
1.75,-0.03829944,-0.04275927,-0.4675258,0.1274737,0.3435473,0.3497244,-1.503565,0
1.76,-0.06145314,-0.03753797,-0.3734645,0.1338961,0.3192356,0.3294637,-1.489928,0
1.77,-0.05879652,-0.06991726,0.05500716,-1.133804,0.2997861,0.3051685,-1.51336,0
1.78,-0.04618525,-0.0687659,-0.1261873,-0.872106,0.2754743,0.2860646,-1.41393,0
1.79,-0.04099093,-0.05222621,-0.642858,-0.3641843,0.2560248,0.2641137,-1.236528,0
1.8,-0.04807564,-0.04425606,-1.020435,-0.2174578,0.2414377,0.2456011,-1.112975,0
1.81,-0.05963016,-0.05276417,-0.923443,-0.5332785,0.2219882,0.2311377,-1.043627,0
1.82,-0.05016588,-0.06959212,-0.9439607,-1.065376,0.207401,0.2126727,-1.045659,0
1.83,-0.04535861,-0.05708408,-1.341256,-0.4628558,0.2025387,0.1985524,-0.9390119,0
1.84,-0.05958015,-0.04603886,-1.533376,0.01429704,0.1879518,0.193833,-0.7294202,0
1.85,-0.0745218,-0.06483577,-1.407339,-0.6697808,0.1733644,0.18101,-0.7682823,0
1.86,-0.08313664,-0.08581387,-1.386555,-1.197379,0.1587775,0.1661253,-0.8514284,0
1.87,-0.09040131,-0.09652835,-1.493673,-1.290186,0.1490526,0.1515452,-0.8086246,0
1.88,-0.1048638,-0.1025858,-1.564552,-1.160276,0.139328,0.1421225,-0.6691515,0
1.89,-0.1153857,-0.1180139,-1.562154,-1.340221,0.1344657,0.1334033,-0.5844451,0
1.9,-0.124951,-0.127586,-1.586935,-1.170748,0.1247408,0.1288273,-0.5186371,0
1.91,-0.1348481,-0.136731,-1.659945,-1.096473,0.115016,0.1201149,-0.5267984,0
1.92,-0.1482083,-0.146219,-1.70551,-1.047161,0.1101539,0.1102318,-0.5749546,0
1.93,-0.1662331,-0.1587683,-1.587734,-1.030406,0.1004291,0.1043189,-0.5808907,0
1.94,-0.1817439,-0.17913,-1.308748,-1.308012,0.09556675,0.0947039,-0.6403217,0
1.95,-0.1911032,-0.1946961,-1.086252,-1.267038,0.08584213,0.08893964,-0.6447999,0
1.96,-0.1967348,-0.2029859,-0.9921904,-1.069417,0.07611728,0.07976182,-0.6662735,0
1.97,-0.2021167,-0.2059574,-0.9458259,-0.7626722,0.07125497,0.06987042,-0.7027863,0
1.98,-0.2111091,-0.2074774,-0.8552287,-0.419211,0.06153011,0.06400842,-0.7144181,0
1.99,-0.2200954,-0.2160488,-0.6132807,-0.4414502,0.04694319,0.05416792,-0.8062671,0
2,-0.2240492,-0.2266239,-0.2460954,-0.5827845,0.03235579,0.0390735,-0.9480735,0
2.01,-0.2205291,-0.2301984,-0.09234659,-0.4857746,0.02263141,0.02349146,-1.017433,0
2.02,-0.2156974,-0.2222952,-0.04838029,-0.002704177,0.008044004,0.01295132,-0.9738889,0
2.03,-0.2193295,-0.2145702,0.0859168,0.265703,-0.001680374,-0.00097188,-0.9875533,0
2.04,-0.2148386,-0.2174562,0.2791021,0.1938091,-0.01140523,-0.01167275,-1.007816,0
2.05,-0.2057649,-0.2112809,0.3601067,0.4533453,-0.02113008,-0.02156422,-1.019932,0
2.06,-0.2008696,-0.1988566,0.4301863,0.8114053,-0.03571701,-0.03124457,-1.005955,0
2.07,-0.1946451,-0.1938404,0.6462874,0.7494279,-0.05030441,-0.04547199,-1.058987,0
2.08,-0.1852821,-0.1880403,0.7971051,0.7185296,-0.06002879,-0.0604838,-1.105872,0
2.09,-0.171367,-0.1767708,0.7640638,0.9099211,-0.06975365,-0.07081383,-1.046258,0
2.1,-0.1638214,-0.1601055,0.8565263,1.207037,-0.08434081,-0.07988543,-0.9687887,0
2.11,-0.1509147,-0.1536499,0.9609796,1.009195,-0.09406543,-0.09349587,-0.9732636,0
2.12,-0.1342463,-0.1398524,0.9375309,1.161074,-0.1086528,-0.1034754,-0.9338101,0
2.13,-0.1192152,-0.1223324,0.6878555,1.27911,-0.1135151,-0.1169559,-0.8949053,0
2.14,-0.1148543,-0.1045382,0.698514,1.483542,-0.1183772,-0.1222723,-0.7727577,0
2.15,-0.1113609,-0.101768,0.9353992,1.161382,-0.1183772,-0.1263931,-0.6845311,0
2.16,-0.1002117,-0.1000349,1.175215,0.9922259,-0.1329646,-0.1260494,-0.5892643,0
2.17,-0.0789739,-0.09208918,1.144839,0.8402343,-0.1329646,-0.1379671,-0.608197,0
2.18,-0.05799536,-0.06554965,0.854661,1.468499,-0.1378269,-0.1387416,-0.4579753,0
2.19,-0.04579571,-0.04101656,0.5748755,1.765725,-0.1378269,-0.1419125,-0.3653957,0
2.2,-0.0443087,-0.02821993,0.5538249,1.682255,-0.1329646,-0.141969,-0.3317742,0
2.21,-0.04033283,-0.02937337,0.7137024,1.265056,-0.1378269,-0.1376047,-0.2839953,0
2.22,-0.03116598,-0.03070045,0.766462,0.8321159,-0.1378269,-0.1409342,-0.3054082,0
2.23,-0.02435157,-0.02226761,0.7653962,0.851069,-0.1378269,-0.14086,-0.2164198,0
2.24,-0.01613482,-0.01591194,0.8117606,0.7710714,-0.1378269,-0.1398298,-0.09756583,0
2.25,-0.007832822,-0.008137685,0.8130929,0.7653192,-0.1378269,-0.1386673,-0.01892858,0
2.26,-0.0005511887,-3.869111e-05,0.8053655,0.7588024,-0.1329646,-0.1378209,0.03711097,0
2.27,0.006061559,0.008069318,0.8290806,0.8180572,-0.1378269,-0.1328549,0.1185334,0
2.28,0.01527715,0.01220494,0.8197545,0.5950487,-0.1329646,-0.1361059,0.08757562,0
2.29,0.02453075,0.02277713,0.7613992,0.75537,-0.1329646,-0.13212,0.1534256,0
2.3,0.0321993,0.03207517,0.7121037,0.7503787,-0.1329646,-0.1310475,0.1933712,0
2.31,0.04104015,0.03898901,0.624171,0.6638204,-0.1281021,-0.1306835,0.2025544,0
2.32,0.04746533,0.04868365,0.4880087,0.7503321,-0.1232398,-0.1260617,0.2648728,0
2.33,0.04947591,0.05509778,0.4285876,0.706588,-0.1183772,-0.1206949,0.3221391,0
2.34,0.0533879,0.05536566,0.4704222,0.4881326,-0.1135151,-0.1154391,0.346235,0
2.35,0.05748205,0.05801985,0.4163303,0.4104595,-0.1135151,-0.1102206,0.3690988,0
2.36,0.05994932,0.06022261,0.3880852,0.2518868,-0.1086528,-0.1093675,0.3632458,0
2.37,0.06537067,0.06219975,0.3417208,0.1842839,-0.09892797,-0.1048477,0.4122089,0
2.38,0.06433369,0.06933802,0.2585845,0.377908,-0.08920312,-0.09504188,0.5138401,0
2.39,0.07225491,0.06803484,0.1999627,0.2630814,-0.08434081,-0.08467958,0.5686408,0
2.4,0.08217971,0.07613615,-0.1741506,0.43712,-0.07461619,-0.0788087,0.5288972,0
2.41,0.08173227,0.08928499,-0.6183435,0.7571229,-0.05516672,-0.06972323,0.5427331,0
2.42,0.06429615,0.09111346,-0.7180005,0.782771,-0.04544187,-0.05158144,0.6113116,0
2.43,0.04477491,0.06645478,-0.3540127,-0.1168755,-0.0308547,-0.04118391,0.5128308,0
2.44,0.04067844,0.04056206,0.04061818,-0.7001539,-0.02113008,-0.02778746,0.4730151,0
2.45,0.04718686,0.03551858,-0.02732975,-0.5340943,-0.01626778,-0.01717154,0.5045739,0
2.46,0.04137946,0.04529972,-0.2042608,-0.0504119,-0.006542921,-0.01106823,0.5156013,0
2.47,0.02962206,0.04105866,-0.03292546,-0.0888098,-0.001680374,-0.002158094,0.5028255,0
2.48,0.03088944,0.02594924,0.2074237,-0.475971,0.003181696,0.002469618,0.384693,0
2.49,0.0396836,0.02797108,0.09790762,-0.2057253,0.008044004,0.006661943,0.315217,0
2.5,0.03823913,0.04133745,-0.1040709,0.3088,0.01776886,0.0112001,0.3121388,0
2.51,0.03075074,0.04237408,-0.0603711,0.3609977,0.02263141,0.01987951,0.3084075,0
2.52,0.02667159,0.03220161,0.1450715,0.02532785,0.03235579,0.02455133,0.2002058,0
2.53,0.03095441,0.02782317,0.2047591,0.04686536,0.03235579,0.03296648,0.1668894,0
2.54,0.02937864,0.03231581,0.159194,0.193203,0.03721833,0.03382702,0.1015392,0
2.55,0.02507108,0.03150104,0.2902935,0.1702443,0.03721833,0.03760258,0.08431615,0
2.56,0.02783962,0.0249721,0.457632,-0.07705979,0.03721833,0.03766837,0.02121877,0
2.57,0.03730075,0.02780045,0.3718311,0.03695259,0.04208064,0.03738645,-0.008587596,0
2.58,0.04135947,0.04153196,0.1930347,0.5099638,0.04208064,0.04180374,0.05195785,0
2.59,0.03785977,0.04646569,0.1559964,0.5019184,0.04694319,0.04242971,0.02830839,0
2.6,0.03699306,0.0418154,0.2620485,0.2804722,0.0518055,0.04625289,-0.003474277,0
2.61,0.03994744,0.04005291,0.3073471,0.2310647,0.0518055,0.05085147,-0.009161629,0
2.62,0.04379875,0.0424935,0.2631144,0.2474055,0.0518055,0.05145834,-0.03017929,0
2.63,0.04536771,0.04667413,0.1775799,0.293622,0.0518055,0.05141134,-0.04137819,0
